행사명,행사 일주일 전 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,김포공항,하차,57,334,314,401,521,585,690,747,695,666,667,697,599,497,314,150,69,52,73,17.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,까치산,하차,56,295,275,493,523,587,700,977,1079,1148,1326,1701,1881,1993,1712,1556,1693,1354,1060,193.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,영등포구청,하차,40,96,78,118,142,127,158,131,153,177,146,168,187,160,104,105,125,87,60,6.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,신길,하차,13,73,60,110,132,84,120,162,142,154,249,244,256,208,213,248,262,239,190,1.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,여의도,하차,102,495,472,752,829,879,1156,1293,1295,1271,1211,1251,1048,706,412,268,228,177,145,70.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,공덕,하차,26,168,237,384,462,512,499,516,499,549,533,577,777,621,562,357,401,376,226,3.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,종로3가,하차,17,144,166,327,667,989,1456,1522,1528,1581,1446,1487,1448,1238,822,548,376,315,181,15.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,을지로4가,하차,25,157,182,359,271,313,407,456,506,375,388,308,389,219,165,124,89,74,47,0.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,동대문역사문화공원(DDP),하차,10,51,68,131,79,111,143,122,106,144,165,181,154,126,87,57,99,84,66,4.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,청구,하차,8,55,66,158,111,109,126,156,127,147,149,205,212,205,165,149,131,131,90,7.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,군자(능동),하차,25,185,186,334,378,349,403,539,627,597,633,800,887,849,672,600,683,564,468,189.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,천호(풍납토성),하차,80,428,348,626,1046,1112,1216,1221,1324,1289,1265,1372,1401,1208,1011,657,714,588,461,62.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,강동,하차,39,332,387,654,606,801,921,881,1062,923,926,1046,992,868,845,622,877,679,577,136.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,올림픽공원(한국체대),하차,26,103,97,146,246,305,528,415,409,682,766,978,938,285,178,162,140,118,69,0.0
서울 세계 불꽃 축제,2022-10-01,20:00,20:30,여의나루역,5호선,개롱,하차,27,99,132,210,237,219,233,197,303,346,279,427,410,407,360,259,366,298,163,6.0
